/home/cc/dagonstar/venv/lib/python3.12/site-packages/paramiko/pkey.py:82: CryptographyDeprecationWarning: TripleDES has been moved to cryptography.hazmat.decrepit.ciphers.algorithms.TripleDES and will be removed from cryptography.hazmat.primitives.ciphers.algorithms in 48.0.0.
  "cipher": algorithms.TripleDES,
/home/cc/dagonstar/venv/lib/python3.12/site-packages/paramiko/transport.py:253: CryptographyDeprecationWarning: TripleDES has been moved to cryptography.hazmat.decrepit.ciphers.algorithms.TripleDES and will be removed from cryptography.hazmat.primitives.ciphers.algorithms in 48.0.0.
  "class": algorithms.TripleDES,
2025-08-05 21:14:32,313 root         DEBUG    edge_11_07_01: Executing...
2025-08-05 21:14:32,314 root         DEBUG    edge_35_02_01: Status.WAITING
2025-08-05 21:14:32,314 root         DEBUG    edge_17_08_01: Status.RUNNING
2025-08-05 21:14:32,314 root         DEBUG    edge_35_03_01: Status.WAITING
2025-08-05 21:14:32,314 root         DEBUG    edge_11_08_01: Executing...
2025-08-05 21:14:32,315 root         DEBUG    edge_35_04_01: Status.WAITING
2025-08-05 21:14:32,315 root         DEBUG    edge_17_09_01: Status.RUNNING
2025-08-05 21:14:32,316 root         DEBUG    edge_35_05_01: Status.WAITING
2025-08-05 21:14:32,317 root         DEBUG    edge_35_06_01: Status.WAITING
2025-08-05 21:14:32,317 root         DEBUG    edge_17_10_01: Status.RUNNING
2025-08-05 21:14:32,317 root         DEBUG    edge_11_09_01: Executing...
2025-08-05 21:14:32,317 root         DEBUG    edge_35_07_01: Status.WAITING
2025-08-05 21:14:32,318 root         DEBUG    edge_17_11_01: Status.RUNNING
2025-08-05 21:14:32,318 root         DEBUG    edge_35_08_01: Status.WAITING
2025-08-05 21:14:32,319 root         DEBUG    edge_11_10_01: Executing...
2025-08-05 21:14:32,319 root         DEBUG    edge_35_09_01: Status.WAITING
2025-08-05 21:14:32,319 root         DEBUG    edge_18_01_01: Status.RUNNING
2025-08-05 21:14:32,320 root         DEBUG    edge_35_10_01: Status.WAITING
2025-08-05 21:14:32,321 root         DEBUG    edge_35_11_01: Status.WAITING
2025-08-05 21:14:32,321 root         DEBUG    edge_18_02_01: Status.RUNNING
2025-08-05 21:14:32,322 root         DEBUG    edge_36_01_01: Status.WAITING
2025-08-05 21:14:32,322 root         DEBUG    edge_36_02_01: Status.WAITING
2025-08-05 21:14:32,323 root         DEBUG    edge_11_11_01: Executing...
2025-08-05 21:14:32,323 root         DEBUG    edge_36_03_01: Status.WAITING
2025-08-05 21:14:32,323 root         DEBUG    edge_18_03_01: Status.RUNNING
2025-08-05 21:14:32,324 root         DEBUG    edge_8_09_01: Executing...
2025-08-05 21:14:32,325 root         DEBUG    edge_36_04_01: Status.WAITING
2025-08-05 21:14:32,325 root         DEBUG    edge_18_04_01: Status.RUNNING
2025-08-05 21:14:32,326 root         DEBUG    edge_36_05_01: Status.WAITING
2025-08-05 21:14:32,326 root         DEBUG    edge_36_06_01: Status.WAITING
2025-08-05 21:14:32,328 root         DEBUG    edge_18_05_01: Status.RUNNING
2025-08-05 21:14:32,328 root         DEBUG    edge_36_07_01: Status.WAITING
2025-08-05 21:14:32,328 root         DEBUG    edge_16_02_01: Executing...
2025-08-05 21:14:32,329 root         DEBUG    edge_36_08_01: Status.WAITING
2025-08-05 21:14:32,329 root         DEBUG    edge_18_06_01: Status.RUNNING
2025-08-05 21:14:32,330 root         DEBUG    edge_36_09_01: Status.WAITING
2025-08-05 21:14:32,332 root         DEBUG    edge_18_07_01: Status.RUNNING
2025-08-05 21:14:32,332 root         DEBUG    edge_36_10_01: Status.WAITING
2025-08-05 21:14:32,332 root         DEBUG    edge_4_01_01: Scratch directory: /home/cc/dagonstar/tests/benchmarks/dynostore/dagonresults//1754428472249-edge_4_01_01
2025-08-05 21:14:32,333 root         DEBUG    edge_16_03_01: Executing...
2025-08-05 21:14:32,334 root         DEBUG    edge_18_08_01: Status.RUNNING
2025-08-05 21:14:32,335 root         DEBUG    edge_36_11_01: Status.WAITING
2025-08-05 21:14:32,336 root         DEBUG    edge_18_09_01: Status.RUNNING
2025-08-05 21:14:32,337 root         DEBUG    edge_38_01_01: Status.WAITING
2025-08-05 21:14:32,337 root         DEBUG    edge_4_03_01: Scratch directory: /home/cc/dagonstar/tests/benchmarks/dynostore/dagonresults//1754428472253-edge_4_03_01
2025-08-05 21:14:32,337 root         DEBUG    edge_38_02_01: Status.WAITING
2025-08-05 21:14:32,338 root         DEBUG    edge_4_02_01: Scratch directory: /home/cc/dagonstar/tests/benchmarks/dynostore/dagonresults//1754428472251-edge_4_02_01
2025-08-05 21:14:32,339 root         DEBUG    edge_38_03_01: Status.WAITING
2025-08-05 21:14:32,340 root         DEBUG    edge_4_04_01: Scratch directory: /home/cc/dagonstar/tests/benchmarks/dynostore/dagonresults//1754428472254-edge_4_04_01
2025-08-05 21:14:32,340 root         DEBUG    edge_16_04_01: Executing...
2025-08-05 21:14:32,340 root         DEBUG    edge_38_04_01: Status.WAITING
2025-08-05 21:14:32,341 root         DEBUG    edge_18_10_01: Status.RUNNING
2025-08-05 21:14:32,341 root         DEBUG    edge_38_05_01: Status.WAITING
2025-08-05 21:14:32,342 root         DEBUG    edge_38_06_01: Status.WAITING
2025-08-05 21:14:32,342 root         DEBUG    edge_4_05_01: Scratch directory: /home/cc/dagonstar/tests/benchmarks/dynostore/dagonresults//1754428472258-edge_4_05_01
2025-08-05 21:14:32,343 root         DEBUG    edge_16_05_01: Executing...
2025-08-05 21:14:32,343 root         DEBUG    edge_38_07_01: Status.WAITING
2025-08-05 21:14:32,344 root         DEBUG    edge_18_11_01: Status.RUNNING
2025-08-05 21:14:32,344 root         DEBUG    edge_16_06_01: Executing...
2025-08-05 21:14:32,344 root         DEBUG    edge_38_08_01: Status.WAITING
2025-08-05 21:14:32,345 root         DEBUG    edge_38_09_01: Status.WAITING
2025-08-05 21:14:32,345 root         DEBUG    edge_24_01_01: Status.RUNNING
2025-08-05 21:14:32,346 root         DEBUG    edge_38_10_01: Status.WAITING
2025-08-05 21:14:32,346 root         DEBUG    edge_38_11_01: Status.WAITING
